Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Date,HomeTeam_encoded,AwayTeam_encoded,Stage_encoded,Winner
1994,26-Mar-94,,Tunisia , Mali,0,2,Group stage,26/03/1994,37,23,1,-1
1994,28-Mar-94,,Mali , Zaire,0,1,Group stage,28/03/1994,24,40,1,-1
1994,30-Mar-94,,Tunisia , Zaire,1,1,Group stage,30/03/1994,37,40,1,0
1994,26-Mar-94,,Nigeria , Gabon,3,0,Group stage,26/03/1994,29,12,1,1
1994,28-Mar-94,,Egypt , Gabon,4,0,Group stage,28/03/1994,10,12,1,1
1994,30-Mar-94,,Nigeria , Egypt,0,0,Group stage,30/03/1994,29,9,1,0
1994,27-Mar-94,,Ivory Coast , Sierra Leone,4,0,Group stage,27/03/1994,18,32,1,1
1994,29-Mar-94,,Zambia , Sierra Leone,0,0,Group stage,29/03/1994,41,32,1,0
1994,31-Mar-94,,Zambia , Ivory Coast,1,0,Group stage,31/03/1994,41,17,1,1
1994,27-Mar-94,,Ghana , Guinea,1,0,Group stage,27/03/1994,15,15,1,1
1994,29-Mar-94,,Senegal , Guinea,2,1,Group stage,29/03/1994,31,15,1,1
1994,31-Mar-94,,Ghana , Senegal,1,0,Group stage,31/03/1994,15,31,1,1
1994,02-Apr-94,,Zaire , Nigeria,0,2,Quarter-finals,02/04/1994,40,29,2,-1
1994,02-Apr-94,,Egypt , Mali,0,1,Quarter-finals,02/04/1994,10,23,2,-1
1994,03-Apr-94,,Zambia , Senegal,1,0,Quarter-finals,03/04/1994,41,31,2,1
1994,03-Apr-94,,Ghana , Ivory Coast,1,2,Quarter-finals,03/04/1994,15,17,2,-1
1994,06-Apr-94,,Nigeria , Ivory Coast,2,2,Semi-finals,06/04/1994,29,17,4,0
1994,06-Apr-94,,Zambia , Mali,4,0,Semi-finals,06/04/1994,41,23,4,1
1994,10-Apr-94,,Ivory Coast , Mali,3,1,Third place,10/04/1994,18,23,5,1
1994,10-Apr-94,,Nigeria , Zambia,2,1,Final,10/04/1994,29,41,0,1
1996,13-Jan-96,,South Africa , Cameroon,3,0,Group stage,13/01/1996,33,5,1,1
1996,15-Jan-96,,Egypt , Angola,2,1,Group stage,15/01/1996,10,1,1,1
1996,18-Jan-96,,Cameroon , Egypt,2,1,Group stage,18/01/1996,5,9,1,1
1996,20-Jan-96,,South Africa , Angola,1,0,Group stage,20/01/1996,33,1,1,1
1996,24-Jan-96,,South Africa , Egypt,0,1,Group stage,24/01/1996,33,9,1,-1
1996,24-Jan-96,,Angola , Cameroon,3,3,Group stage,24/01/1996,1,5,1,0
1996,14-Jan-96,,Zambia , Algeria,0,0,Group stage,14/01/1996,41,0,1,0
1996,15-Jan-96,,Sierra Leone , Burkina Faso,2,1,Group stage,15/01/1996,32,3,1,1
1996,18-Jan-96,,Algeria , Sierra Leone,2,0,Group stage,18/01/1996,0,32,1,1
1996,20-Jan-96,,Zambia , Burkina Faso,5,1,Group stage,20/01/1996,41,3,1,1
1996,24-Jan-96,,Algeria , Burkina Faso,2,1,Group stage,24/01/1996,0,3,1,1
1996,24-Jan-96,,Zambia , Sierra Leone,4,0,Group stage,24/01/1996,41,32,1,1
1996,16-Jan-96,,Gabon , Liberia,1,2,Group stage,16/01/1996,13,19,1,-1
1996,19-Jan-96,,Gabon , Zaire,2,0,Group stage,19/01/1996,13,40,1,1
1996,25-Jan-96,,Zaire , Liberia,2,0,Group stage,25/01/1996,40,19,1,1
1996,14-Jan-96,,Ghana , Ivory Coast,2,0,Group stage,14/01/1996,15,17,1,1
1996,16-Jan-96,,Tunisia , Mozambique,1,1,Group stage,16/01/1996,37,27,1,0
1996,19-Jan-96,,Ghana , Tunisia,2,1,Group stage,19/01/1996,15,37,1,1
1996,21-Jan-96,,Ivory Coast , Mozambique,1,0,Group stage,21/01/1996,18,27,1,1
1996,25-Jan-96,,Tunisia , Ivory Coast,3,1,Group stage,25/01/1996,37,17,1,1
1996,25-Jan-96,,Ghana , Mozambique,2,0,Group stage,25/01/1996,15,27,1,1
1996,27-Jan-96,,South Africa , Algeria,2,1,Quarter-finals,27/01/1996,33,0,2,1
1996,27-Jan-96,,Zambia , Egypt,3,1,Quarter-finals,27/01/1996,41,9,2,1
1996,28-Jan-96,,Gabon , Tunisia,1,1,Quarter-finals,28/01/1996,13,37,2,0
1996,28-Jan-96,,Ghana , Zaire,1,0,Quarter-finals,28/01/1996,15,40,2,1
1996,31-Jan-96,,South Africa , Ghana,3,0,Semi-finals,31/01/1996,33,14,4,1
1996,31-Jan-96,,Zambia , Tunisia,2,4,Semi-finals,31/01/1996,41,37,4,-1
