HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Burkina Faso , Kenya,0,3,Group stage, Kenya
Zimbabwe , Egypt,1,2,Group stage, Egypt
Cameroon , Algeria,1,1,Group stage,Draw
Cameroon , Zimbabwe,5,3,Group stage,Cameroon 
Algeria , Egypt,2,1,Group stage,Algeria 
Cameroon , Egypt,0,0,Group stage,Draw
Algeria , Zimbabwe,1,2,Group stage, Zimbabwe
Nigeria , Morocco,0,1,Group stage, Morocco
South Africa , Benin,2,0,Group stage,South Africa 
Nigeria , South Africa,4,0,Group stage,Nigeria 
Morocco , Benin,4,0,Group stage,Morocco 
Morocco , South Africa,1,1,Group stage,Draw
Nigeria , Benin,2,1,Group stage,Nigeria 
Mali , Guinea,2,1,Quarter-finals,Mali 
Tunisia , Senegal,1,0,Quarter-finals,Tunisia 
Cameroon , Nigeria,1,2,Quarter-finals, Nigeria
Morocco , Algeria,3,1,Quarter-finals,Morocco 
Tunisia , Nigeria,1,1,Semi-finals,Draw
Morocco , Mali,4,0,Semi-finals,Morocco 
Nigeria , Mali,2,1,Third place,Nigeria 
Tunisia , Morocco,2,1,Final,Tunisia 
Egypt , Libya,3,0,Group stage,Egypt 
Morocco , Ivory Coast,0,1,Group stage, Ivory Coast
Libya , Ivory Coast,1,2,Group stage, Ivory Coast
Egypt , Morocco,0,0,Group stage,Draw
Egypt , Ivory Coast,3,1,Group stage,Egypt 
Libya , Morocco,0,0,Group stage,Draw
Cameroon , Angola,3,1,Group stage,Cameroon 
Togo , DR Congo,0,2,Group stage, DR Congo
Angola , DR Congo,0,0,Group stage,Draw
Cameroon , Togo,2,0,Group stage,Cameroon 
Angola , Togo,3,2,Group stage,Angola 
Cameroon , DR Congo,2,0,Group stage,Cameroon 
Tunisia , Zambia,4,1,Group stage,Tunisia 
South Africa , Guinea,0,2,Group stage, Guinea
Zambia , Guinea,1,2,Group stage, Guinea
Tunisia , South Africa,2,0,Group stage,Tunisia 
Tunisia , Guinea,0,3,Group stage, Guinea
Zambia , South Africa,1,0,Group stage,Zambia 
Nigeria , Ghana,1,0,Group stage,Nigeria 
Zimbabwe , Senegal,0,2,Group stage, Senegal
Ghana , Senegal,1,0,Group stage,Ghana 
Nigeria , Zimbabwe,2,0,Group stage,Nigeria 
Nigeria , Senegal,2,1,Group stage,Nigeria 
Ghana , Zimbabwe,1,2,Group stage, Zimbabwe
Guinea , Senegal,2,3,Quarter-finals, Senegal
