HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Nigeria , Senegal,2,1,Group D,
Ghana , Zimbabwe,1,2,Group D,
Guinea , Senegal,2,3,Quarter-finals,
Egypt , DR Congo,4,1,Quarter-finals,
Nigeria , Tunisia,1,1,Quarter-finals,
Cameroon , Ivory Coast,1,1,Quarter-finals,
Egypt , Senegal,2,1,Semi-finals,
Nigeria , Ivory Coast,0,1,Semi-finals,
Senegal , Nigeria,0,1,Third-place match,
Egypt , Ivory Coast,0,0,Final,
Ghana , Guinea,2,1,Group A,
Namibia , Morocco,1,5,Group A,
Guinea , Morocco,3,2,Group A,
Ghana , Namibia,1,0,Group A,
Ghana , Morocco,2,0,Group A,
Guinea , Namibia,1,1,Group A,
Nigeria , Ivory Coast,0,1,Group B,
Mali , Benin,1,0,Group B,
Ivory Coast , Benin,4,1,Group B,
Nigeria , Mali,0,0,Group B,
Nigeria , Benin,2,0,Group B,
Ivory Coast , Mali,3,0,Group B,
Egypt , Cameroon,4,2,Group C,
Sudan , Zambia,0,3,Group C,
Cameroon , Zambia,5,1,Group C,
Egypt , Sudan,3,0,Group C,
Cameroon , Sudan,3,0,Group C,
Egypt , Zambia,1,1,Group C,
Tunisia , Senegal,2,2,Group D,
South Africa , Angola,1,1,Group D,
Senegal , Angola,1,3,Group D,
Tunisia , South Africa,3,1,Group D,
Senegal , South Africa,1,1,Group D,
Tunisia , Angola,0,0,Group D,
Ghana , Nigeria,2,1,Quarter-finals,
Ivory Coast , Guinea,5,0,Quarter-finals,
Egypt , Angola,2,1,Quarter-finals,
Tunisia , Cameroon,2,3,Quarter-finals,
Ghana , Cameroon,0,1,Semi-finals,
Ivory Coast , Egypt,1,4,Semi-finals,
Ghana , Ivory Coast,4,2,Third place match,
Cameroon , Egypt,0,1,Final,
Angola , Mali,4,4,Group A,
Malawi , Algeria,3,0,Group A,
Mali , Algeria,0,1,Group A,
Angola , Malawi,2,0,Group A,
Angola , Algeria,0,0,Group A,
Mali , Malawi,3,1,Group A,
Ivory Coast , Burkina Faso,0,0,Group B,
Ghana , Togo,,,Group B,
Burkina Faso , Togo,,,Group B,
Ivory Coast , Ghana,3,1,Group B,
Burkina Faso , Ghana,0,1,Group B,
Ivory Coast , Togo,,,Group B,
Egypt , Nigeria,3,1,Group C,
Mozambique , Benin,2,2,Group C,
Nigeria , Benin,1,0,Group C,
Egypt , Mozambique,2,0,Group C,
Egypt , Benin,2,0,Group C,
Nigeria , Mozambique,3,0,Group C,
Cameroon , Gabon,0,1,Group D,
Zambia , Tunisia,1,1,Group D,
Gabon , Tunisia,0,0,Group D,
Cameroon , Zambia,3,2,Group D,
Gabon , Zambia,1,2,Group D,
Cameroon , Tunisia,2,2,Group D,
Angola , Ghana,0,1,Quarter-finals,
Ivory Coast , Algeria,2,3,Quarter-finals,
Egypt , Cameroon,3,1,Quarter-finals,
Zambia , Nigeria,0,0,Quarter-finals,
Ghana , Nigeria,1,0,Semi-finals,
Algeria , Egypt,0,4,Semi-finals,
Nigeria , Algeria,1,0,Third place play-off,
Ghana , Egypt,0,1,Final,
Zambia , Sudan,3,0,Quarterfinals,
Ivory Coast , Equatorial Guinea,3,0,Quarterfinals,
Gabon , Mali,1,1,Quarterfinals,
Ghana , Tunisia,2,1,Quarterfinals,
Zambia , Ghana,1,0,Semifinals,
Mali , Ivory Coast,0,1,Semifinals,
Ghana , Mali,0,2,Third place match,
Zambia , Ivory Coast,0,0,Final,
Ghana , Cape Verde,2,0,Quarter-finals,
South Africa , Mali,1,1,Quarter-finals,
Ivory Coast , Nigeria,1,2,Quarter-finals,
Burkina Faso , Togo,1,0,Quarter-finals,
Mali , Nigeria,1,4,Semi-finals,
Burkina Faso , Ghana,1,1,Semi-finals,
Mali , Ghana,3,1,Third place play-off,
Nigeria , Burkina Faso,1,0,Final,
Congo , DR Congo,2,4,Quarter-finals,
Tunisia , Equatorial Guinea,1,2,Quarter-finals,
Ghana , Guinea,3,0,Quarter-finals,
Ivory Coast , Algeria,3,1,Quarter-finals,
DR Congo , Ivory Coast,1,3,Semi-finals,
Ghana , Equatorial Guinea,3,0,Semi-finals,
DR Congo , Equatorial Guinea,0,0,Third place play-off,
Ivory Coast , Ghana,0,0,Final,
Gabon , Guinea-Bissau,1,1,Group A,
Burkina Faso , Cameroon,1,1,Group A,
Gabon , Burkina Faso,1,1,Group A,
Cameroon , Guinea-Bissau,2,1,Group A,
Cameroon , Gabon,0,0,Group A,
Guinea-Bissau , Burkina Faso,0,2,Group A,
Algeria , Zimbabwe,2,2,Group B,
Tunisia , Senegal,0,2,Group B,
Algeria , Tunisia,1,2,Group B,
Senegal , Zimbabwe,2,0,Group B,
Senegal , Algeria,2,2,Group B,
Zimbabwe , Tunisia,2,4,Group B,
Ivory Coast , Togo,0,0,Group C,
DR Congo , Morocco,1,0,Group C,
Ivory Coast , DR Congo,2,2,Group C,
Morocco , Togo,3,1,Group C,
Morocco , Ivory Coast,1,0,Group C,
Togo , DR Congo,1,3,Group C,
Ghana , Uganda,1,0,Group D,
Mali , Egypt,0,0,Group D,
Ghana , Mali,1,0,Group D,
Egypt , Uganda,1,0,Group D,
Egypt , Ghana,1,0,Group D,
Uganda , Mali,1,1,Group D,
Burkina Faso , Tunisia,2,0,Quarter-finals,
Senegal , Cameroon,0,0,Quarter-finals,
DR Congo , Ghana,1,2,Quarter-finals,
Egypt , Morocco,1,0,Quarter-finals,
Burkina Faso , Egypt,1,1,Semi-finals,
Cameroon , Ghana,2,0,Semi-finals,
Burkina Faso , Ghana,1,0,Third place play-off,
Egypt , Cameroon,1,2,Final,
Egypt , Zimbabwe,1,0,Group A,
DR Congo , Uganda,0,2,Group A,
Uganda , Zimbabwe,1,1,Group A,
Egypt , DR Congo,2,0,Group A,
Uganda , Egypt,0,2,Group A,
Zimbabwe , DR Congo,0,4,Group A,
Nigeria , Burundi,1,0,Group B,
Guinea , Madagascar,2,2,Group B,
